[LOG] System::create                           : Header version = 2.02.13. Current version = 2.02.13.
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_203.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_204.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_204.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_205.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_205.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_206.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_206.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_207.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_207.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_208.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_208.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_209.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_209.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_210.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_210.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_211.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_211.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_212.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_212.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_213.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_213.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_214.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_214.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_215.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_215.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_216.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_216.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_217.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_217.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_218.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_218.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_219.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_219.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_220.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_220.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_221.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_221.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_222.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_222.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_223.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_223.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_224.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_224.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_225.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_225.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_226.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_226.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_227.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_227.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_228.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_228.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_229.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_229.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_230.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_230.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_231.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_231.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_232.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_232.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_233.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_233.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_234.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_234.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_235.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_235.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_236.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_236.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_237.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_237.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_238.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_238.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_239.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_239.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_240.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_240.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_241.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_241.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_242.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_242.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_243.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_243.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_244.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_244.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] SystemI::mixerResume                     : Resuming output.
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] PluginEffectModel::init                  : Missing DSP plugin 'Resonance Audio Source'
[LOG] PostLoad::initPluginEffects              : Creating stub DSP plugin model and continuing.
[LOG] PluginEffectModel::init                  : Missing DSP plugin 'Resonance Audio Source'
[LOG] PostLoad::initPluginEffects              : Creating stub DSP plugin model and continuing.
[LOG] PluginEffectModel::init                  : Missing DSP plugin 'Resonance Audio Source'
[LOG] PostLoad::initPluginEffects              : Creating stub DSP plugin model and continuing.
[LOG] PluginEffectModel::init                  : Missing DSP plugin 'Resonance Audio Listener'
[LOG] PostLoad::initPluginEffects              : Creating stub DSP plugin model and continuing.
[WRN] EffectInstanceFactory::create            : Creating stub DSP for plugin 'Resonance Audio Listener'
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 3
[LOG] SystemI::mixerSuspend                    : Suspending output.
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_245.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_245.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_246.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_246.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_247.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_247.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_248.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_248.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_249.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_249.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_250.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_250.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_251.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_251.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_252.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_252.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_253.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_253.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_254.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_254.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_255.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_255.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_256.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_256.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_257.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_257.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_258.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_258.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_259.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_259.bank'
